Epoch   Loss     Train_F1   Test_F1   PR-AUC   ROC-AUC
001     0.6826   0.8704     0.8702    0.4795   0.8759
010     0.2717   0.8932     0.8891    0.8012   0.9656
020     0.1924   0.9347     0.9327    0.8868   0.9777
030     0.1523   0.9514     0.9500    0.9206   0.9824
040     0.1288   0.9616     0.9581    0.9332   0.9852
050     0.1099   0.9697     0.9639    0.9422   0.9871
060     0.0916   0.9744     0.9676    0.9470   0.9882
070     0.0762   0.9810     0.9734    0.9508   0.9887
080     0.0671   0.9808     0.9725    0.9541   0.9898
090     0.0568   0.9872     0.9760    0.9546   0.9894
100     0.0514   0.9892     0.9787    0.9577   0.9901
